"grp_102","themedian","negcount","poscount","oddslist","lci_odds","uci_odds"
1,1,203,249,1.22660098522168,1.07800610779926,1.39567852729361
2,2,265,380,1.43396226415094,1.29191267088065,1.59163062748446
3,3,210,255,1.21428571428571,1.06892813563989,1.37940965978568
4,4,305,330,1.08196721311475,0.968128669919988,1.20919159469997
5,5,593,532,0.897133220910624,0.822659852368315,0.978348479926951
6,6,479,329,0.686847599164927,0.615212931130018,0.766823323450142
7,7,371,257,0.692722371967655,0.611353095033527,0.784921657423159
8,8,312,190,0.608974358974359,0.526567907804504,0.704277196524318
9,9,133,46,0.345864661654135,0.257121266163319,0.465237146526602
10,10,69,46,0.666666666666667,0.492166214297388,0.90303729011332
11,11,52,20,0.384615384615385,0.243411102672147,0.607733141417495
