"grp_102","themedian","negcount","poscount","oddslist","lci_odds","uci_odds"
1,1,270,182,0.674074074074074,0.580769592096809,0.78236853912813
2,2,284,361,1.27112676056338,1.14250885491038,1.41422382371565
3,3,182,283,1.55494505494506,1.37635395270978,1.75670954345558
4,4,256,379,1.48046875,1.33345847352715,1.64368652135753
5,5,528,597,1.13068181818182,1.04155095423772,1.22744006787704
6,6,404,404,1,0.904849090216038,1.10515666182661
7,7,284,344,1.2112676056338,1.08596839245601,1.35102386280297
8,8,245,257,1.04897959183673,0.924480840463835,1.19024444415515
9,9,104,75,0.721153846153846,0.569591798872054,0.913044869768754
10,10,59,56,0.949152542372881,0.718172053350182,1.25442161734137
11,11,48,24,0.5,0.328224817257196,0.76167305717197
